flightplan ---- cheapest_route ---- fuel_cost
DUB LHR SYD JFK AAL 777 -- None -- None
LML O03 CID ZMU SBA 747 -- ('LML', 'ZMU', 'O03', 'CID', 'SBA', 'LML') -- 30461.18
KUC FDH PYR MHK HPB 747 -- ('KUC', 'PYR', 'FDH', 'MHK', 'HPB', 'KUC') -- 31788.3
IOM QFZ XWW WSZ BRO 747 -- ('IOM', 'XWW', 'QFZ', 'WSZ', 'BRO', 'IOM') -- 38957.47
AKR KYA LPY SCV XDB 747 -- ('AKR', 'LPY', 'XDB', 'SCV', 'KYA', 'AKR') -- 4199.99
ADF TED KYD WDH SFD 747 -- ('ADF', 'TED', 'SFD', 'WDH', 'KYD', 'ADF') -- 4895.9
SGD TSU BMK XIL SUG 747 -- ('SGD', 'XIL', 'TSU', 'SUG', 'BMK', 'SGD') -- 6672.69
SEM PGU VST CVM OBX 747 -- ('SEM', 'CVM', 'OBX', 'PGU', 'VST', 'SEM') -- 6864.34
SMO CDS RTW YPQ MXX 747 -- ('SMO', 'CDS', 'YPQ', 'MXX', 'RTW', 'SMO') -- 8468.32
LSY BYO BLR LXG AHE 747 -- ('LSY', 'LXG', 'BLR', 'BYO', 'AHE', 'LSY') -- 8732.01
DVO MUB PBM LEQ PFQ 747 -- ('DVO', 'MUB', 'PBM', 'LEQ', 'PFQ', 'DVO') -- 9090.75
TTR KSA RKE NCS BEL 747 -- ('TTR', 'RKE', 'BEL', 'NCS', 'KSA', 'TTR') -- 9434.18
CEF ZRJ MLS PSC OKN 757 -- ('CEF', 'MLS', 'PSC', 'ZRJ', 'OKN', 'CEF') -- 13740.15
MPY ZPB GSQ EVE CXL 757 -- ('MPY', 'CXL', 'ZPB', 'EVE', 'GSQ', 'MPY') -- 15591.74
BQT OSH LES PTG ZAT 757 -- ('BQT', 'PTG', 'ZAT', 'LES', 'OSH', 'BQT') -- 16236.37
YPM MSU MVV PNB FOA 757 -- ('YPM', 'FOA', 'MVV', 'MSU', 'PNB', 'YPM') -- 17974.94
BCO NGX COF AMM QSA 757 -- ('BCO', 'NGX', 'QSA', 'COF', 'AMM', 'BCO') -- 21635.81
MGQ ZAG JDO LRV KSK 757 -- ('MGQ', 'JDO', 'LRV', 'KSK', 'ZAG', 'MGQ') -- 3265.61
